TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
267,1.55169,0.132571,-0.579812,2.43169,0.66794
268,1.58621,0.136223,-0.799237,3.45821,-0.0195627
269,1.72638,1.34423,-0.923302,5.08101,0.292205
270,1.57831,2.4665,-0.572513,6.72709,1.21885
271,1.21375,2.48599,0.0313812,7.97727,1.68956
272,1.06659,1.85102,0.291098,8.71944,1.72917
273,1.41248,1.39314,-0.241438,10.0537,1.71981
274,1.7293,1.35711,-1.19302,12.7115,1.72863
275,1.36042,1.50599,-1.7947,16.7888,1.73172
276,1.0769,1.31608,-1.54338,21.6331,1.4545
277,1.82735,1.07415,-0.715661,26.3254,1.24749
278,2.77914,0.99103,0.237277,29.8667,1.11392
279,2.78554,1.37656,0.929499,32.139,0.760582
280,1.82345,2.2318,0.991737,34.0457,0.425422
281,0.703944,2.46812,0.55265,35.7364,0.639541
282,0.159566,1.57002,-0.520407,36.4977,1.34029
283,0.507021,0.58821,-1.642,36.1723,1.44194
284,1.79444,0.675407,-1.82562,35.7019,1.15467
285,3.0482,1.68756,-1.25579,34.2742,0.955767
286,2.81118,2.49202,-0.497679,30.7633,0.486588
287,1.4826,2.19868,0.0616819,26.3925,0.202011
288,0.906696,1.3883,-0.135428,22.3208,0.720859
289,2.00194,1.23525,-1.17833,18.9761,1.78632
290,2.89211,1.79363,-1.93407,16.6252,2.53204
291,2.30093,1.85202,-1.36649,14.9775,2.19694
292,1.37412,1.48367,-0.349905,13.4522,0.902738
293,1.52219,1.30269,0.220536,11.1425,0.078844
294,1.97291,1.34215,-0.0795412,8.15037,0.18246
295,1.7488,1.84276,-0.637597,5.70768,0.374245
296,1.12493,2.36585,-0.526709,4.38378,0.178857
297,0.892233,2.14554,-0.030057,3.58398,0.426911
298,1.5285,1.37776,0.172853,2.65196,1.48995
299,2.3777,0.903527,-0.269265,2.00185,2.40435
300,2.70274,0.94894,-1.22794,2.16878,2.07711
301,2.25596,1.49455,-1.87901,2.64739,1.05245
302,1.4386,2.3605,-1.30489,2.31614,0.478459
303,0.934373,2.52688,-0.178892,1.01115,0.655571
304,1.07199,1.64575,0.394389,-0.134998,1.5016
305,1.64382,0.586896,0.168943,-0.256051,2.14037
306,2.10248,0.24333,-0.0857519,0.366915,1.56143
307,1.86296,0.903992,-0.337245,1.29876,-0.0403583
308,1.51565,1.57655,-0.941826,1.93987,-0.676367
309,1.15477,1.74397,-1.49932,2.11321,0.71098
310,0.577761,1.57508,-1.41471,1.61028,2.3109
311,0.405044,1.6246,-0.928781,0.60292,2.39535
312,1.00256,1.85134,-0.40225,-0.0933245,1.20951
313,2.10374,1.85088,-0.129928,-0.105317,-0.0369785
314,2.6078,1.81903,-0.0724287,-0.105011,-0.229672
315,2.2584,1.62607,-0.146539,-0.298614,0.865503
316,1.32447,1.24467,-0.35712,0.195001,2.06776
317,0.664546,1.05947,-0.60701,1.337,2.49375
318,0.794571,1.04108,-0.763202,1.77159,1.80293
319,1.63613,0.833912,-0.851673,0.96247,0.613697
320,2.36094,0.867311,-0.926612,0.0828809,-0.0411468
321,2.0613,1.38494,-0.6859,0.438254,0.108393
322,1.23176,1.76589,-0.174174,1.532,0.582875
323,0.7424,1.50303,0.0939424,1.85145,1.18403
324,0.708467,1.17048,-0.039116,1.46743,1.74633
325,0.995264,1.14885,-0.253393,0.849774,2.01069
326,1.13066,1.1706,-0.430422,0.41278,1.89982
327,1.19333,1.21042,-0.325132,0.639936,1.34444
328,1.40459,1.09668,0.0692519,1.23849,0.875667
329,2.08266,0.849609,0.376196,1.38622,0.686088
330,2.58868,1.18051,0.331282,0.784806,0.590272
331,1.91699,2.1072,0.0502422,0.312079,0.581358
332,0.652504,3.18304,0.122805,0.609185,0.853752
333,-0.0444371,3.63676,0.173346,1.15462,1.82102
334,0.401993,2.89168,-0.222277,0.876387,2.56481
335,1.4613,1.7624,-0.538033,0.0708756,1.95453
336,2.08914,1.13304,-0.356007,-0.114774,0.725675
337,1.84296,1.08128,-0.14351,0.826777,0.334732
338,1.0872,1.0604,-0.215802,1.86534,0.943922
339,0.598382,1.07511,0.0638876,1.59645,1.45868
340,0.540316,1.08971,0.401031,0.117855,1.2159
341,0.474086,1.1706,0.2897,-0.734235,0.950522
342,0.50085,1.74913,-0.0906988,-0.0419112,1.32839
343,1.06619,2.08656,-0.739157,1.05636,1.78452
344,2.09249,1.30704,-1.13754,1.40591,1.61616
345,2.89961,0.50571,-0.66983,0.78768,0.926175
346,2.34766,0.800547,0.457937,0.304777,0.224279
347,0.965949,1.91143,0.937862,0.473273,0.461569
348,0.28632,2.69465,0.117046,0.838885,1.69593
349,0.598255,2.47802,-0.500742,1.00927,2.92849
350,0.82771,2.03748,-0.3846,0.551992,2.58899
351,0.688623,1.85679,-0.330075,-0.0694868,0.676155
352,0.733368,1.74186,-0.416654,0.156471,-0.520604
353,1.06092,1.85453,-8.33603e-05,1.03929,0.132033
354,1.80566,1.98265,0.674402,1.8026,1.27175
355,2.6602,1.57332,1.12458,1.88854,1.6551
356,2.86048,0.730861,1.19944,1.22089,1.25329
357,2.50636,-0.0386219,0.450365,0.3352,0.777294
358,1.59828,0.00974492,-0.605573,0.0352966,0.827657
359,1.19097,1.26486,-1.05356,0.260243,1.36039
360,1.6296,2.57325,-0.702091,0.317182,1.71489
361,1.78587,3.09832,0.259532,0.198409,1.43329
362,1.01516,2.85599,1.09888,0.358846,0.798807
363,0.504071,2.29576,1.16288,1.04835,0.630776
364,1.39716,2.00076,0.197029,1.49994,1.09227
365,2.69763,1.9306,-1.02404,0.976053,1.47808
366,2.70578,1.65933,-1.09906,0.249,1.19034
367,1.72641,1.30071,0.0752273,0.325007,0.670814
