Pad,CoBo,Asad,Aget,Ch
1077,0,2,3,39
1078,0,2,3,62
1079,0,2,3,59
1080,0,2,3,66
1081,0,2,3,67
1082,0,2,2,7
1083,0,2,2,4
1084,0,2,2,9
1085,0,2,2,10
1086,0,2,2,21
1087,0,2,2,30
1088,0,2,2,28
1089,0,2,2,32
1090,0,2,2,38
1091,0,2,2,34
1092,0,2,2,47
1093,0,2,2,42
1094,0,3,2,48
1095,0,2,2,53
1096,0,3,2,54
1097,0,2,2,60
1098,0,2,1,0
1099,0,3,2,63
1100,0,2,1,4
1101,0,3,1,3
1102,0,3,1,7
1103,0,2,1,6
1104,0,3,1,1
1105,0,3,1,5
1106,0,3,1,31
1107,0,3,2,67
1108,0,3,1,12
1109,0,3,1,54
1110,0,3,1,14
1111,0,3,1,10
1112,0,3,1,18
1113,0,3,1,16
1114,0,3,1,23
1115,0,3,1,19
1116,0,3,1,29
1117,0,3,1,28
1118,0,3,1,34
1119,0,3,1,37
1120,0,3,1,40
1121,0,3,1,46
1122,0,3,1,52
1123,0,3,1,49
1124,0,3,1,61
1125,0,3,1,58
1126,0,3,1,66
1127,0,3,0,2
1128,0,3,0,4
1129,0,3,0,8
1130,0,3,0,17
1131,0,3,0,13
1132,0,3,0,24
1133,6,0,1,1
1134,6,0,1,3
1135,0,3,0,30
1136,6,0,1,5
1137,6,1,3,59
1138,6,1,3,67
1139,6,1,2,9
1140,6,1,2,18
1141,6,1,2,25
1142,6,1,2,31
1143,6,1,2,39
1144,6,1,2,46
1145,6,1,2,57
1146,6,1,2,67
1147,6,0,1,4
1148,6,0,1,6
1149,6,0,1,8
1150,6,1,3,29
1151,6,1,0,63
1152,6,0,1,30
1153,6,0,1,26
1154,6,0,0,40
1155,6,0,1,14
1156,6,0,1,25
1157,6,0,1,43
1158,6,0,1,59
1159,6,0,0,5
1160,6,0,0,23
1161,6,0,0,37
1162,6,0,0,52
1163,6,0,0,65
1164,8,3,0,58
1165,8,3,0,42
1166,8,3,0,28
1167,8,3,0,15
1168,8,3,0,2
1169,8,3,1,58
1170,8,3,1,47
1171,8,3,1,32
1172,8,3,0,43
1173,8,3,0,33
1174,8,3,0,27
1175,8,3,1,20
1176,8,3,1,31
1177,8,3,2,21
1178,8,3,1,41
1179,8,3,3,55
1180,8,2,1,2
1181,8,2,2,60
1182,8,2,2,51
1183,8,2,2,42
1184,8,2,2,36
1185,8,2,2,28
1186,8,2,2,21
1187,8,2,2,13
1188,2,0,0,65
1189,2,0,0,53
1190,2,0,0,36
1191,2,0,0,28
1192,2,0,0,19
1193,2,0,0,26
1194,2,0,0,13
1195,2,0,0,17
1196,2,0,0,8
1197,2,0,0,4
1198,2,1,0,1
1199,2,0,1,64
1200,2,0,1,58
1201,2,1,1,63
1202,2,0,1,51
1203,2,1,1,54
1204,2,1,1,43
1205,2,0,1,44
1206,2,1,1,39
1207,2,0,1,34
1208,9,1,0,41
1209,2,1,1,31
1210,2,1,1,27
1211,2,1,1,29
1212,2,1,1,18
1213,2,1,1,25
1214,2,1,1,16
1215,2,1,1,23
1216,2,1,1,20
1217,2,1,1,14
1218,2,1,1,12
1219,9,0,3,5
1220,9,0,3,1
1221,2,1,1,9
1222,2,1,1,8
1223,2,1,1,7
1224,2,1,1,2
1225,2,1,1,6
1226,2,1,2,64
1227,2,1,1,0
1228,2,1,2,62
1229,2,1,2,58
1230,2,1,2,55
1231,2,1,2,49
1232,2,1,2,42
1233,2,1,2,47
1234,2,1,2,34
1235,2,1,2,44
1236,2,1,0,19
1237,2,1,2,28
1238,2,1,0,17
1239,2,1,2,19
1240,2,1,2,13
1241,2,1,0,13
1242,2,1,2,6
1243,2,1,0,6
1244,2,1,0,4
1245,2,1,3,66
1246,2,1,1,28
1247,2,1,3,62
1248,2,1,1,33
1249,2,1,1,32
1250,2,1,1,35
1251,2,1,1,38
1252,2,1,1,42
1253,2,1,1,37
1254,2,1,1,44
1255,2,1,1,46
1256,2,1,0,20
1257,2,1,1,47
1258,2,1,0,25
1259,2,1,1,49
1260,2,1,1,53
1261,2,1,0,27
1262,2,1,1,58
1263,2,1,0,29
1264,4,2,2,67
1265,2,1,1,60
1266,4,2,2,48
1267,4,2,2,52
1268,4,2,1,1
1269,4,2,2,43
1270,4,2,3,52
1271,4,2,1,5
1272,4,2,3,54
1273,4,2,3,37
1274,4,2,3,39
1275,4,2,3,12
1276,4,2,3,26
1277,4,2,3,14
1278,4,2,2,13
1279,4,2,3,30
1280,4,2,2,10
1281,4,3,3,15
1282,4,3,3,7
1283,4,3,2,7
1284,0,0,0,26
1285,0,0,0,24
1286,0,0,2,7
1287,0,0,2,5
1288,0,0,3,59
1289,0,0,3,61
1290,0,0,3,14
1291,0,0,3,16
1292,0,0,3,33
1293,0,0,3,29
1294,0,0,3,2
1295,0,0,3,4
1296,0,0,2,21
1297,0,0,2,17
1298,0,0,2,0
1299,0,0,3,66
1300,0,1,3,41
1301,0,0,3,42
1302,0,1,3,65
1303,0,1,3,67
1304,0,1,2,20
1305,0,1,2,16
1306,0,1,3,3
1307,0,1,3,1
1308,0,1,3,34
1309,0,1,3,30
1310,0,1,3,17
1311,0,1,3,15
1312,0,1,3,60
1313,0,1,3,62
1314,0,1,2,6
1315,0,1,2,8
1316,0,1,0,25
1317,0,1,0,23
1318,2,2,2,8
1319,2,2,3,8
